,artist,title,album,text
0,Abdurrahman Kızılay,Aç Aç Kolların Digel Yanıma,Mum Kimin Yanan& Kerkük Türküleri,Aç aç kollarin gel gel yanima Seni esmerim saram canima Çagirdim gelmedi naz eder bana  Gel benim esmerim naz etme bana  (Baglanti) Gel güzelim gel yanima gel Kollarin boynuma sar Vefasiz oldum yolunda gezdim Bulmadim bir çare sedali kaldim  Aç aç kollarin gel gel yanima     
1,Abdurrahman Kızılay,Altın Hızmav Mülayim,Mum Kimin Yanan& Kerkük Türküleri,Altin hizmav Mülayim Seni haktan dileyim Yaz günü temmuzda Sen terle ben sileyim  Gün gördüm günler gördüm Seni gördüm sad oldum  Altin hizmav incidi Gömlegin narincidi Menim lal olmus dilim Ne dedi yar incidi     
2,Abdurrahman Kızılay,Ay Dolanaydı Gün Dolan Aydı,Mum Kimin Yanan& Kerkük Türküleri,Ay çikti daha batmaz ay dolan aydi Hüsnüvü gören yatmaz gün dolan aydi Hüsnüv gibi bir hüsün ay dolan aydi Bir de Allah yaratmaz gün dolan aydi  Ay dolanaydi gün dolan aydi Yarin tek tek yürüyüsü mende olaydi  Ay çikti yolda durdu ay dolan aydi Gör ne hayalda durdu gün dolan aydi Yazmasin saçaklari oy ay dolan aydi Gözüne dalda durdu gün dolan aydi     
3,Abdurrahman Kızılay,Ay Havar Değirmenci,Mum Kimin Yanan& Kerkük Türküleri,Baglanti) Ay havar degirmenci Sen hanci ben kervanci Arpani verem sana Bugdani tart benimçi  Arpa bugday meydanda Yari gördüm eyvanda Muhabbet bela seydi Sen damda ben eyvanda  Baglanti  Degirmen sag dolani Mum yanar yag dolani Avci bir maral için Günde yüz dag dolani     
4,Abdurrahman Kızılay,Ayağında Dar Şalvar,Mum Kimin Yanan& Kerkük Türküleri,Ayaginda dar salvar El kaldir hakka yalvar Hudam böyle yazipti Benim elimde ne var  (Baglanti) Neynim neynim bala ay kiz Kaldik beçe yalaguz Oy aman dey dey oy alan yeri Oy aman oy aman gözünün karasi Beni dilhun edecekti Beni mecbur edecekti      
5,Abdurrahman Kızılay,Bir Arak Ver,Mum Kimin Yanan& Kerkük Türküleri,Yarin bahçesinden geçtim Gülünden bir sen gül seçtim Ask badesin yalniz içtim  Içmeden oy oy oy oy oy oy Sarhosum oy oy oy oy oy oy Mayhosum oy oy oy oy oy oy  Yarim güller baglar deste Bagladikça söyler beste Sarap verin bana tasta  Içmeden oy oy oy oy oy oy Sarhosum oy oy oy oy oy oy Mayhosum oy oy oy oy oy oy   
6,Abdurrahman Kızılay,Bu Hal Ne Haldir Güzel,Mum Kimin Yanan& Kerkük Türküleri,(Baglanti) Bu hal ne haldir güzel ne haldir Yanakta dövdürüp sen Gözüm ne haldir canim ne haldir Alemi öldürüp sen  Bu hali hurda meni Salip da derde meni Rakipler talan etti Isterler gidem meni  Baglanti      
7,Abdurrahman Kızılay,Dağlar Başın Alaydım,Mum Kimin Yanan& Kerkük Türküleri,Daglar basin alaydim Çagiraydim çayladim O yar burdan geçende Kol boynuna salaydim  Daglar daglar yar yaman daglar Gözel yariyçin aglar Daglar daglar yar yaman daglar Bülbül güliyçin aglar  Daglar basi çemedi Gemli gülmeg nemedi Men burda kan agliram Derdim köme kömedi      
8,Abdurrahman Kızılay,Damımız Ardı Çöle (Öllem Öllem),Mum Kimin Yanan& Kerkük Türküleri,Damimiz ardi çöle (Bala öllem öllem öllem nece)  Sunalar indi göle (Bala öllem öllem öllem nece)  Ayagima kan indi (Bala öllem öllem öllem nece)  Yoluna gele gele (Bala öllem öllem öllem nece)  Basina dolanim bu gece    Kara çadir üstüyem (Bala öllem öllem öllem nece)  Bir esmerin dostuyam (Bala öllem öllem öllem nece)  Kuran getir el basim (Bala öllem öllem öllem nece)  Sen gideli yasliyam (Bala öllem öllem öllem nece)  Basina dolanim bu gece    Kara çadir haraldan (Bala öllem öllem öllem nece)  Benzin seçmem maraldan (Bala öllem öllem öllem nece)  Ne derdim var ne belam (Bala öllem öllem öllem nece)  Sensin benzim saraldan (Bala öllem öllem öllem nece)  Basina dolanim bu gece   
9,Abdurrahman Kızılay,Esmerim Güzel Esmer,Mum Kimin Yanan& Kerkük Türküleri,Esmerim güzel esmer Derdimi yazan esmer Ne muhannet yarimis Katlime gezen gezen esmer  Ah esmerim ah ah heyatim Can esmerim can esmerim  Esmer gözün karadi Degme gönlüm yaradi Bahdim ceyran gözüne Gözün daha karadi     
